Name,Str,Mag,Dex,Spd,Def,Res,Lck
Alear,1,0,1,1,0,0,0
Vander,1,-1,1,-2,3,-2,0
Clanne,1,-1,2,2,-2,-1,0
Framme,0,1,-1,2,-1,-1,1
Alfred,2,-1,1,0,2,-2,-1
Etie,2,-2,2,0,0,-1,-1
Boucheron,1,0,2,2,-2,0,-2
Céline,-2,2,-2,1,-3,1,3
Chloé,-2,1,0,3,-1,0,0
Louis,1,0,-1,-2,3,-2,1
Yunaka,-1,0,1,2,-2,2,-1
Alcryst,1,-1,3,0,1,-2,-1
Citrinne,-1,3,0,-1,-2,2,0
Lapis,-2,-2,2,3,0,0,0
Diamant,2,-1,-1,0,2,-1,0
Amber,2,-1,-1,-1,1,-1,1
Jade,1,-1,0,0,2,0,-1
Ivy,0,2,-2,0,2,2,-3
Kagetsu,-1,-1,2,2,0,-2,1
Zelkov,0,-1,2,0,0,-1,1
Fogado,-1,-1,0,3,-1,1,0
Pandreo,-3,2,0,-1,-2,3,2
Bunet,1,-3,1,0,2,-1,1
Timerra,-1,-1,3,0,2,-3,1
Panette,3,-1,0,0,0,-1,0
Merrin,-1,-1,1,2,-1,0,1
Hortensia,-2,0,0,1,-3,3,2
Seadall,0,-2,-1,2,0,0,2
Rosado,3,-2,1,0,1,-2,0
Goldmary,1,-3,0,0,2,-1,2
Lindon,0,2,-1,0,-2,2,0
Saphir,2,-2,0,1,1,-2,0
Veyle,0,3,0,-1,0,3,-2
Mauvier,1,2,1,-2,1,1,-2
Anna,0,1,1,1,-2,-1,1
Jean,0,2,-1,-1,0,0,1
