,HP,Str,Mag,Dex,Spd,Def,Res,Lck,Bld
AlearC,68,42,25,37,44,35,25,35,13
AlearP,68,42,25,37,44,35,25,35,13
VanderC,40,11,5,10,8,10,8,6,8
VanderP,75,46,19,38,39,37,20,33,16
ClanneC,83,47,30,45,40,33,21,25,18
ClanneP,83,47,30,45,40,33,21,25,18
FrammeC,66,38,42,25,30,26,38,30,15
FrammeP,66,38,42,25,30,26,38,30,15
AlfredC,71,47,19,34,35,39,19,44,16
AlfredP,71,47,19,34,35,39,19,44,16
EtieC,68,47,18,54,32,29,23,27,14
EtieP,68,47,18,54,32,29,23,27,14
BoucheronC,30,10,0,9,8,6,3,5,9
BoucheronP,94,47,20,32,35,25,18,21,20
CélineC,56,36,39,27,42,24,36,53,11
CélineP,56,36,39,27,42,24,36,53,11
ChloéC,66,36,42,26,31,26,39,29,15
ChloéP,66,36,42,26,31,26,39,29,15
LouisC,37,18,1,13,5,21,3,6,11
LouisP,76,47,29,46,34,38,23,26,15
YunakaC,60,42,22,52,44,31,25,29,13
YunakaP,60,42,22,52,44,31,25,29,13
AlcrystC,68,42,19,44,40,30,17,29,15
AlcrystP,68,42,19,44,40,30,17,29,15
CitrinneC,43,25,51,34,29,18,46,30,11
CitrinneP,43,25,51,34,29,18,46,30,11
LapisC,30,14,2,13,16,9,6,8,7
LapisP,83,44,29,45,41,35,22,25,18
DiamantC,77,45,22,22,38,40,19,25,20
DiamantP,77,45,22,22,38,40,19,25,20
AmberC,76,48,28,46,35,36,24,26,15
AmberP,76,48,28,46,35,36,24,26,15
JadeC,33,14,4,14,5,18,6,5,8
JadeP,75,46,19,37,41,36,22,32,16
IvyC,60,31,42,23,34,33,42,17,15
IvyP,60,31,42,23,34,33,42,17,15
KagetsuC,83,45,30,45,40,35,20,26,18
KagetsuP,83,45,30,45,40,35,20,26,18
ZelkovC,35,15,3,19,19,14,5,7,9
ZelkovP,60,43,21,53,42,33,22,31,13
FogadoC,67,34,27,33,52,27,32,33,16
FogadoP,67,34,27,33,52,27,32,33,16
PandreoC,47,32,42,28,31,24,43,26,12
PandreoP,47,32,42,28,31,24,43,26,12
BunetC,41,15,5,15,9,20,8,13,11
BunetP,77,46,18,46,37,37,28,31,16
TimerraC,63,34,26,50,41,35,23,38,12
TimerraP,63,34,26,50,41,35,23,38,12
PanetteC,94,49,19,30,33,27,17,23,20
PanetteP,94,49,19,30,33,27,17,23,20
MerrinC,69,39,25,42,47,26,33,35,12
MerrinP,69,39,25,42,47,26,33,35,12
HortensiaC,47,24,39,36,46,16,54,55,11
HortensiaP,47,24,39,36,46,16,54,55,11
SeadallC,64,36,28,28,45,24,26,41,15
SeadallP,64,36,29,28,45,24,26,41,15
RosadoC,83,49,29,44,38,36,20,25,18
RosadoP,83,49,29,44,38,36,20,25,18
GoldmaryC,75,46,17,37,41,36,21,35,16
GoldmaryP,75,46,17,37,41,36,21,35,16
LindonC,43,26,50,33,30,18,46,30,11
LindonP,43,26,50,33,30,18,46,30,11
SaphirC,51,24,2,23,19,19,9,15,15
SaphirP,94,48,18,30,34,28,16,23,20
VeyleC,48,35,51,36,32,25,44,28,11
VeyleP,48,35,51,36,32,25,44,28,11
MauvierC,68,39,25,46,35,24,30,28,14
MauvierP,68,39,25,46,35,24,30,28,14
AnnaC,68,40,38,49,50,25,34,36,14
AnnaP,68,40,38,49,50,25,34,36,14
JeanC,47,35,42,27,31,26,40,25,12
JeanP,47,35,42,27,31,26,40,25,12
