Class,HP,Str,Mag,Dex,Spd,Def,Res,Lck,Bld
Dragon Child,10,10,0,10,15,10,10,5,5
Divine Dragon,10,10,0,10,15,15,15,10,5
Fell Child,10,10,25,10,5,10,25,0,0
Noble,15,15,0,5,5,20,5,15,0
Avenir,15,15,0,5,10,25,5,20,5
Noble,0,5,10,5,5,5,10,20,0
Vidame,5,10,15,5,5,5,15,20,0
Lord,15,20,0,10,10,10,0,5,0
Successeur,15,20,0,10,15,15,0,10,5
Lord,10,10,0,25,10,10,0,5,0
Tireur dՎlite,10,10,0,30,10,15,5,5,0
Wing Tamer,5,0,20,0,0,10,20,0,0
Lindwurm,5,0,25,5,0,15,25,0,0
Wing Tamer,0,0,15,10,10,0,25,10,0
Sleipnir Rider,0,0,20,15,15,0,30,15,0
Sentinel,10,10,0,10,5,20,0,5,0
Picket,10,15,0,10,10,20,5,5,5
Sentinel,10,5,0,15,15,5,15,0,0
Cupido,10,5,5,20,20,5,20,0,0
Melusine,10,10,10,10,15,10,10,0,5
Sword Fighter,10,10,0,15,20,0,15,10,0
Swordmaster,10,10,0,15,20,0,15,15,0
Hero,15,15,0,10,15,0,10,15,0
Lance Fighter,10,10,5,20,5,10,5,0,0
Halberdier,10,15,5,20,10,15,5,5,0
Royal Knight,5,10,15,15,15,5,20,10,0
Axe Fighter,25,20,0,5,10,5,0,0,5
Berserker,30,30,0,5,10,5,0,0,10
Warrior,25,20,0,10,15,10,5,0,5
Archer,10,15,0,25,10,5,0,5,0
Sniper,15,15,0,30,10,10,0,10,0
Bow Knight,10,10,0,20,20,0,15,15,0
Sword Armor,20,15,0,10,0,30,0,0,5
Lance Armor,20,15,0,10,0,30,0,0,5
Axe Armor,20,15,0,10,0,30,0,0,5
General,25,20,0,10,0,30,0,0,10
Great Knight,20,15,0,15,0,25,10,5,5
Sword Cavalier,10,10,0,10,10,10,10,10,0
Lance Cavalier,10,10,0,10,10,10,10,10,0
Axe Cavalier,10,10,0,10,10,10,10,10,0
Paladin,15,15,0,10,15,15,15,10,0
Wolf Knight,10,5,0,15,20,5,20,20,0
Mage,0,0,25,5,0,0,25,5,0
Sage,0,0,30,5,0,0,30,15,0
Mage Knight,5,5,25,0,5,10,25,5,0
Martial Monk,0,10,25,0,0,10,20,10,0
Martial Master,5,10,20,0,0,15,25,10,0
High Priest,0,0,25,0,5,0,30,30,0
Sword Flier,5,10,5,10,10,0,10,10,0
Lance Flier,5,10,5,10,10,0,10,10,0
Axe Flier,5,10,5,10,10,0,10,10,0
Griffin Knight,0,10,15,15,20,0,15,15,0
Wyvern Knight,20,20,0,10,5,20,5,5,5
Thief,5,10,0,20,15,15,5,15,0
Dancer,5,10,0,5,15,10,20,20,0
Enchanter,5,15,15,15,10,5,5,15,5
