Class,HP,Str,Mag,Dex,Spd,Def,Res,Lck,Bld
Dragon Child,68,41,25,36,43,35,25,35,13
Divine Dragon,68,41,25,36,43,35,25,35,13
Fell Child,48,35,48,36,33,25,41,30,11
Noble,71,45,20,33,35,37,21,45,16
Avenir,71,45,20,33,35,37,21,45,16
Noble,56,38,37,29,41,27,35,50,11
Vidame,56,38,37,29,41,27,35,50,11
Lord,77,43,23,23,38,38,20,25,20
Successeur,77,43,23,23,38,38,20,25,20
Lord,68,41,20,41,40,29,19,30,15
Tireur dՎlite,68,41,20,41,40,29,19,30,15
Wing Tamer,60,31,40,25,34,31,40,20,15
Lindwurm,60,31,40,25,34,31,40,20,15
Wing Tamer,47,26,39,36,45,19,51,53,11
Sleipnir Rider,47,26,39,36,45,19,51,53,11
Sentinel,63,35,27,47,41,33,26,37,12
Picket,63,35,27,47,41,33,26,37,12
Sentinel,67,35,28,33,49,28,31,33,16
Cupido,67,35,28,33,49,28,31,33,16
Melusine,75,40,39,33,35,33,36,27,12
Sword Fighter,67,40,20,37,41,27,22,33,12
Swordmaster,67,40,25,44,49,27,26,37,12
Hero,75,45,20,37,41,34,22,33,16
Lance Fighter,69,43,29,47,36,28,25,25,12
Halberdier,76,46,29,47,36,35,25,25,15
Royal Knight,69,43,39,47,40,28,36,32,12
Axe Fighter,94,46,17,23,29,20,11,23,20
Berserker,96,49,17,23,29,20,11,23,24
Warrior,94,46,20,30,33,27,18,23,20
Archer,68,38,20,45,32,23,24,28,14
Sniper,68,45,20,52,32,29,24,28,14
Bow Knight,68,38,23,45,37,23,29,30,14
Sword Armor,75,42,16,39,17,51,16,25,20
Lance Armor,75,42,16,39,17,51,16,25,20
Axe Armor,75,42,16,39,17,51,16,25,20
General,86,47,16,39,17,55,16,25,25
Great Knight,75,42,19,43,25,51,22,30,20
Sword Cavalier,69,40,21,41,37,27,29,30,12
Lance Cavalier,69,40,21,41,37,27,29,30,12
Axe Cavalier,69,40,21,41,37,27,29,30,12
Paladin,77,45,21,45,37,35,29,30,16
Wolf Knight,69,40,26,41,45,27,33,34,12
Mage,43,26,40,28,30,20,40,24,11
Sage,43,26,48,34,30,20,44,30,11
Mage Knight,47,35,40,28,32,26,40,24,12
Martial Monk,55,28,41,26,28,20,39,29,13
Martial Master,66,38,41,26,28,27,39,29,15
High Priest,55,28,45,31,32,20,48,38,13
Sword Flier,68,40,31,43,38,27,22,25,14
Lance Flier,68,40,31,43,38,27,22,25,14
Axe Flier,68,40,31,43,38,27,22,25,14
Griffin Knight,68,40,37,48,49,27,35,35,14
Wyvern Knight,83,46,31,43,38,35,22,25,18
Thief,60,43,22,51,42,33,23,30,13
Dancer,64,36,31,29,43,24,26,39,15
Enchanter,53,25,25,43,39,20,22,42,11
